Symbol,years,bh_cagr,bh_sharpe,bh_maxdd,sma_cagr,sma_sharpe,sma_maxdd,Company Name,Industry
TATAINVEST,26.510609171800137,0.21723899889284715,0.5516171776656584,-0.7378983288039976,0.17480561134531847,0.4885819055575622,-0.46751693136027705,Tata Investment Corporation Ltd.,Financial Services
LTTS,9.787816563997263,0.15427923339818483,0.40999644973370836,-0.4993917216989765,0.17008162686300698,0.4869704071849089,-0.3879596763700125,L&T Technology Services Ltd.,Information Technology
ASHOKLEY,24.019164955509925,0.2772582431290016,0.5935239185402938,-0.7776633130182619,0.19654992808110827,0.4783142078904972,-0.6610245958583825,Ashok Leyland Ltd.,Capital Goods
COROMANDEL,23.904175222450377,0.267523478087597,0.6341373328481312,-0.5576314424420394,0.17859553435888031,0.4767654472296301,-0.4151324510319473,Coromandel International Ltd.,Chemicals
CRISIL,24.019164955509925,0.24394484837010655,0.6468406761671242,-0.5430336253920051,0.16324043203869487,0.476206247872595,-0.532576426930393,CRISIL Ltd.,Financial Services
MARICO,26.510609171800137,0.26029261266276493,0.7110987457080257,-0.4009585686082032,0.1615537160971463,0.47144535772038665,-0.4683143221092738,Marico Ltd.,Fast Moving Consumer Goods
BHEL,26.510609171800137,0.1406418940967682,0.3800904689239123,-0.9360666966157387,0.17945453611302242,0.4691895550878373,-0.5677184266895341,Bharat Heavy Electricals Ltd.,Capital Goods
INDIANB,19.353867214236825,0.14382681943740327,0.38985635653407613,-0.8963552718139826,0.16150163128566986,0.43776342523029693,-0.5642235824399264,Indian Bank,Financial Services
SRF,24.019164955509925,0.33124449339986883,0.4831148587603081,-0.9442533563252173,0.2902103200001187,0.43172468717666507,-0.893977177391055,SRF Ltd.,Chemicals
NAUKRI,19.627652292950035,0.2100713863334851,0.532248904506221,-0.7543100122572639,0.15403210453353755,0.4259268587110368,-0.5480833647545116,Info Edge (India) Ltd.,Consumer Services
JSWENERGY,16.50650239561944,0.12182836369910999,0.3398151948737145,-0.722641691233883,0.1517006011298374,0.4180526294183216,-0.60968974120183,JSW Energy Ltd.,Power
PRESTIGE,15.696098562628336,0.15216625723927701,0.40581395923566865,-0.7202745951876306,0.15337548223973507,0.4153480941431129,-0.4854169023763254,Prestige Estates Projects Ltd.,Realty
HONAUT,24.019164955509925,0.2628419207545729,0.6607646925648163,-0.7360204858413899,0.1486550021137394,0.412064135467866,-0.5681737015739652,Honeywell Automation India Ltd.,Capital Goods
YESBANK,20.98836413415469,0.03668558362610219,0.22981706501804683,-0.9722128204762793,0.14837828176834567,0.41152874701927655,-0.5613426746476744,Yes Bank Ltd.,Financial Services
LUPIN,24.824093086926762,0.27019863985298676,0.5881123243768909,-0.7338866663399204,0.14256606202744915,0.40645710988363754,-0.6136248918662641,Lupin Ltd.,Healthcare
OIL,16.76933607118412,0.11492037921548715,0.31093968192549803,-0.7121502844675001,0.1386541464639628,0.4060886496633338,-0.533103941267241,Oil India Ltd.,Oil Gas & Consumable Fuels
360ONE,6.80082135523614,0.23633112314266125,0.5873304963390255,-0.5148628512325553,0.1458196532636451,0.40320442451606914,-0.4507537635497524,360 ONE WAM Ltd.,Financial Services
LICHSGFIN,24.019164955509925,0.1808364913437568,0.46191107362199174,-0.7445685821926963,0.13942535769647368,0.38078975037872953,-0.4705370772257449,LIC Housing Finance Ltd.,Financial Services
TATACOMM,24.019164955509925,0.16431470478263988,0.42332650895061175,-0.7950649512567779,0.14327269682570454,0.3799570478617619,-0.7790768774482932,Tata Communications Ltd.,Telecommunication
SCHAEFFLER,24.019164955509925,0.2879668412681411,0.42517670181153916,-0.8031162132947632,0.2501275564260306,0.3798611543589983,-0.7999999844323801,Schaeffler India Ltd.,Automobile and Auto Components
SJVN,16.134154688569474,0.12142070215308975,0.327801929199135,-0.5729578490196053,0.13020081590000898,0.3689298792520983,-0.3219120769757037,SJVN Ltd.,Power
BDL,8.292950034223136,0.2828435967380225,0.6470796135745426,-0.5931603616593129,0.13778487240059634,0.36879967669607744,-0.5084882030009266,Bharat Dynamics Ltd.,Capital Goods
GODREJPROP,16.503764544832308,0.13648673164472402,0.36713650321981905,-0.5950735206827431,0.13026159453996877,0.36549058018955194,-0.410363951602046,Godrej Properties Ltd.,Realty
VOLTAS,24.019164955509925,0.4658637091261195,0.36431664922948354,-0.8743238567045574,0.46873522266026213,0.3498071689029523,-0.47510112661835924,Voltas Ltd.,Consumer Durables
